,나이__은행마케팅.csv,직업__은행마케팅.csv,혼인여부__은행마케팅.csv,학업__은행마케팅.csv,신용카드 소지 여부__은행마케팅.csv,연봉__은행마케팅.csv,집담보 대출__은행마케팅.csv,기타 대출__은행마케팅.csv,연락 방법__은행마케팅.csv,최근 연락한 날 (일)__은행마케팅.csv,최근 연락한 날 (월)__은행마케팅.csv,최근 연락 기간__은행마케팅.csv,최근 켐페인 참가 여부__은행마케팅.csv,최근 켐페인 이후 시간 소요 (일)__은행마케팅.csv,최근 켐페인 이후 연락 횟수__은행마케팅.csv,이전 마케팅 성공 여부 __은행마케팅.csv,과금 여부__은행마케팅.csv
83,41,services,married,unknown,no,230,yes,no,cellular,9,feb,155,3,-1,0,unknown,1
84,54,management,married,tertiary,no,446,no,no,cellular,2,jun,122,2,91,8,failure,1
85,32,management,single,tertiary,no,776,no,no,cellular,25,aug,361,8,-1,0,unknown,1
86,41,blue-collar,married,primary,no,1052,yes,yes,unknown,12,may,335,1,-1,0,unknown,1
87,40,unemployed,divorced,secondary,no,262,yes,no,unknown,14,may,163,5,-1,0,unknown,1
88,40,blue-collar,married,secondary,no,316,yes,no,unknown,7,may,266,2,-1,0,unknown,1
89,29,admin.,single,secondary,no,1028,yes,no,unknown,14,may,343,1,-1,0,unknown,1
90,49,blue-collar,married,unknown,no,2635,no,no,cellular,7,aug,88,2,-1,0,unknown,1
91,48,management,single,tertiary,no,336,yes,no,cellular,18,may,17,1,369,4,other,1
92,49,admin.,divorced,secondary,no,132,yes,no,cellular,15,may,98,1,350,1,failure,1
93,34,self-employed,single,tertiary,no,9962,no,no,cellular,20,aug,474,1,-1,0,unknown,2
94,35,blue-collar,single,secondary,no,275,yes,no,unknown,20,may,243,2,-1,0,unknown,1
95,31,blue-collar,married,secondary,no,125,yes,no,cellular,14,may,201,1,350,2,failure,1
96,54,blue-collar,married,secondary,no,983,no,no,cellular,25,aug,54,6,-1,0,unknown,1
97,36,entrepreneur,married,tertiary,no,4576,yes,no,cellular,7,may,272,1,-1,0,unknown,1
98,33,technician,divorced,secondary,no,557,yes,no,cellular,20,nov,89,1,91,1,failure,1
99,45,housemaid,married,secondary,no,870,no,yes,unknown,19,jun,258,2,-1,0,unknown,1
100,45,blue-collar,divorced,primary,no,1512,yes,no,cellular,9,feb,13,11,-1,0,unknown,1
101,40,management,single,secondary,no,1623,yes,no,cellular,17,nov,161,1,167,2,failure,1
102,35,services,married,secondary,no,109,yes,no,unknown,6,may,597,3,-1,0,unknown,1
103,46,housemaid,married,primary,no,3512,no,no,cellular,30,oct,175,1,197,1,failure,2
104,27,technician,single,tertiary,no,200,no,no,cellular,3,jun,508,1,-1,0,unknown,1
105,42,blue-collar,married,unknown,no,8600,no,no,unknown,11,jun,90,9,-1,0,unknown,1
106,47,blue-collar,married,unknown,no,1045,yes,no,unknown,13,may,411,2,-1,0,unknown,1
107,37,management,married,tertiary,no,6815,yes,no,cellular,8,may,92,2,172,2,other,1
108,31,admin.,married,tertiary,no,608,yes,no,cellular,29,apr,89,2,-1,0,unknown,1
109,41,services,married,secondary,no,7509,no,no,unknown,19,jun,575,1,-1,0,unknown,1
110,31,technician,married,secondary,no,671,no,no,cellular,2,feb,119,2,175,2,failure,1
111,27,blue-collar,single,primary,no,540,no,no,cellular,6,feb,115,1,-1,0,unknown,1
112,69,retired,divorced,secondary,no,4572,no,no,telephone,27,oct,146,2,56,1,other,2
113,30,blue-collar,married,secondary,no,246,yes,no,cellular,17,apr,191,1,150,7,failure,1
114,36,management,single,secondary,no,1898,yes,no,cellular,22,aug,243,4,-1,0,unknown,1
115,48,blue-collar,married,secondary,no,341,yes,yes,unknown,26,jun,251,3,-1,0,unknown,1
116,57,technician,married,tertiary,no,27069,no,yes,unknown,20,jun,174,3,-1,0,unknown,1
117,33,services,single,secondary,no,3269,no,yes,cellular,21,nov,381,1,126,1,failure,1
118,27,services,married,secondary,no,58,yes,no,cellular,7,may,113,1,337,2,other,1
119,30,management,married,tertiary,no,732,yes,no,unknown,2,jun,231,1,-1,0,unknown,1
120,40,blue-collar,divorced,secondary,no,2540,yes,no,unknown,14,may,189,1,-1,0,unknown,1
121,27,services,single,secondary,no,343,yes,no,cellular,20,apr,282,2,320,1,other,1
122,49,entrepreneur,married,secondary,no,273,no,no,cellular,23,jul,58,1,-1,0,unknown,1
123,35,management,single,tertiary,no,51,no,no,cellular,18,aug,90,5,-1,0,unknown,1
124,25,management,single,tertiary,no,289,no,no,cellular,5,jun,604,1,-1,0,unknown,1
125,44,entrepreneur,married,secondary,no,168,no,no,unknown,19,jun,167,2,-1,0,unknown,1
126,49,admin.,divorced,secondary,no,2169,yes,no,unknown,30,jun,54,3,-1,0,unknown,1
127,23,student,single,secondary,no,381,no,no,cellular,23,feb,696,1,189,2,other,2
128,40,blue-collar,married,secondary,no,1451,no,no,cellular,30,sep,117,1,121,1,success,2
129,38,management,married,tertiary,no,184,no,no,cellular,10,feb,64,2,188,2,failure,1
130,50,services,married,secondary,no,5569,no,no,cellular,7,aug,103,4,-1,0,unknown,1
131,87,retired,divorced,primary,no,6746,no,no,telephone,21,oct,749,1,-1,0,unknown,2
132,31,management,single,tertiary,no,630,no,no,cellular,4,may,95,2,91,2,failure,1
133,43,services,married,secondary,no,192,yes,yes,unknown,30,may,273,2,-1,0,unknown,1
134,53,management,married,tertiary,no,8093,no,no,cellular,19,nov,93,1,-1,0,unknown,1
135,42,self-employed,single,secondary,no,924,no,no,cellular,2,feb,127,1,-1,0,unknown,1
136,44,management,married,tertiary,no,217,yes,no,cellular,28,aug,203,4,-1,0,unknown,1
137,47,technician,married,secondary,no,3973,no,no,cellular,6,aug,732,2,-1,0,unknown,1
138,35,technician,married,secondary,no,410,yes,no,cellular,20,nov,67,2,-1,0,unknown,1
139,34,technician,married,secondary,no,5553,yes,no,cellular,21,nov,798,2,182,5,failure,1
140,29,management,married,tertiary,no,581,yes,yes,cellular,14,jul,192,2,-1,0,unknown,1
141,58,management,married,tertiary,no,9339,yes,no,telephone,18,nov,52,3,172,3,other,1
142,36,management,single,tertiary,no,1283,no,no,cellular,18,aug,92,5,-1,0,unknown,1
143,34,management,married,tertiary,no,1293,yes,no,cellular,13,aug,168,2,-1,0,unknown,1
144,47,management,married,secondary,no,623,yes,no,cellular,13,may,102,6,-1,0,unknown,1
145,47,blue-collar,married,secondary,no,182,yes,no,telephone,10,jul,39,1,-1,0,unknown,2
146,48,blue-collar,married,primary,no,418,yes,no,unknown,9,may,102,3,-1,0,unknown,1
147,26,technician,single,tertiary,no,1216,yes,no,cellular,16,apr,472,2,-1,0,unknown,1
148,31,admin.,single,secondary,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown,1
149,29,management,single,tertiary,no,91,yes,no,telephone,28,jul,426,4,-1,0,unknown,1
150,27,admin.,single,tertiary,no,954,no,no,cellular,29,jan,186,1,-1,0,unknown,1
151,58,retired,divorced,primary,no,593,no,yes,unknown,9,jun,204,2,-1,0,unknown,1
152,31,self-employed,single,secondary,no,203,no,yes,cellular,19,nov,177,1,-1,0,unknown,1
153,28,technician,single,secondary,no,313,no,no,cellular,9,feb,1183,2,-1,0,unknown,2
154,27,technician,single,tertiary,no,2781,yes,no,cellular,24,may,168,1,389,1,failure,2
155,34,admin.,divorced,secondary,no,145,no,no,cellular,8,jul,183,5,-1,0,unknown,1
156,41,management,married,tertiary,no,2470,yes,no,cellular,6,may,22,2,-1,0,unknown,1
157,33,technician,married,secondary,no,133,no,no,cellular,4,may,218,1,-1,0,unknown,2
158,46,blue-collar,married,primary,no,2023,yes,no,cellular,21,nov,118,1,-1,0,unknown,1
159,46,blue-collar,married,secondary,no,640,yes,no,cellular,6,may,246,1,55,5,success,2
160,32,student,single,unknown,no,5969,no,no,cellular,6,feb,12,7,-1,0,unknown,1
161,65,retired,married,tertiary,no,162,no,no,cellular,6,aug,280,3,185,2,failure,1
162,39,blue-collar,married,primary,no,640,yes,no,cellular,13,may,220,4,370,2,other,1
163,50,blue-collar,married,primary,no,2590,yes,no,unknown,9,may,257,6,-1,0,unknown,1
164,24,student,single,secondary,no,23878,no,no,cellular,18,feb,185,1,-1,0,unknown,2
165,40,unemployed,single,secondary,no,356,yes,no,cellular,4,may,225,2,339,2,failure,1
166,61,retired,divorced,secondary,no,1761,no,no,cellular,7,dec,334,3,-1,0,unknown,1
167,59,management,married,secondary,no,4412,no,no,cellular,2,nov,162,2,-1,0,unknown,2
168,57,retired,married,primary,no,1947,no,no,cellular,3,sep,126,1,185,7,success,1
169,56,management,divorced,tertiary,no,310,no,no,unknown,20,jun,75,4,-1,0,unknown,1
170,29,technician,married,tertiary,no,409,yes,no,unknown,12,may,247,3,-1,0,unknown,1
171,54,blue-collar,married,secondary,no,1636,no,no,telephone,20,jul,1008,2,-1,0,unknown,2
172,53,blue-collar,married,primary,no,1794,yes,no,cellular,17,apr,557,1,-1,0,unknown,1
173,27,technician,single,secondary,no,285,no,no,cellular,22,jul,139,1,-1,0,unknown,1
174,52,retired,married,tertiary,no,350,no,yes,cellular,9,jul,156,1,-1,0,unknown,1
175,34,management,married,tertiary,no,1725,yes,yes,cellular,28,jul,164,7,-1,0,unknown,1
176,35,technician,married,secondary,no,587,no,yes,cellular,21,nov,23,8,126,5,other,1
177,36,blue-collar,single,primary,no,90,yes,no,cellular,18,may,50,2,360,1,failure,1
178,29,admin.,married,secondary,no,182,yes,yes,unknown,6,may,477,1,-1,0,unknown,1
179,36,management,divorced,tertiary,no,803,yes,no,cellular,11,may,143,4,-1,0,unknown,1
180,41,technician,single,secondary,no,1508,no,yes,cellular,28,jan,301,2,-1,0,unknown,1
181,57,admin.,married,secondary,no,2087,yes,no,cellular,20,apr,140,4,343,1,failure,1
182,49,services,married,secondary,no,494,no,no,unknown,17,jun,196,4,-1,0,unknown,1
183,48,entrepreneur,married,secondary,no,183,yes,no,unknown,3,jun,203,9,-1,0,unknown,1
184,36,management,single,tertiary,no,11767,yes,no,cellular,7,apr,226,1,-1,0,unknown,1
185,38,management,married,secondary,no,1574,no,no,unknown,5,jun,636,1,-1,0,unknown,1
186,34,blue-collar,married,secondary,no,1710,yes,yes,unknown,19,may,187,3,-1,0,unknown,1
187,37,admin.,married,secondary,no,5132,no,no,cellular,31,jul,536,8,-1,0,unknown,1
188,47,blue-collar,married,secondary,no,310,no,no,cellular,19,nov,353,2,-1,0,unknown,1
189,59,unemployed,single,secondary,no,865,no,no,cellular,4,feb,1086,1,-1,0,unknown,1
190,37,blue-collar,single,secondary,no,1672,yes,no,cellular,11,jul,484,1,-1,0,unknown,1
191,45,blue-collar,married,secondary,no,577,yes,no,cellular,13,may,154,2,350,3,failure,1
192,33,blue-collar,married,primary,no,1002,yes,no,cellular,20,apr,92,2,325,4,failure,1
193,33,housemaid,married,primary,no,451,yes,no,cellular,11,may,327,1,-1,0,unknown,1
194,33,management,married,secondary,no,2858,yes,yes,cellular,12,may,175,1,298,5,failure,1
195,56,blue-collar,married,secondary,no,1412,yes,no,unknown,14,may,129,1,-1,0,unknown,1
196,29,technician,single,secondary,no,382,no,no,cellular,5,aug,409,4,-1,0,unknown,2
197,53,management,married,tertiary,no,2578,no,no,cellular,4,aug,958,2,-1,0,unknown,1
198,28,blue-collar,single,secondary,no,322,no,no,telephone,11,sep,240,2,95,3,other,2
199,32,technician,single,tertiary,no,849,yes,no,cellular,28,jul,289,5,-1,0,unknown,1
200,38,admin.,single,secondary,no,144,yes,no,cellular,18,may,177,1,-1,0,unknown,1
201,59,technician,married,primary,no,3163,yes,no,unknown,29,may,240,2,-1,0,unknown,1
202,44,blue-collar,married,primary,no,3753,yes,no,unknown,28,may,122,4,-1,0,unknown,1
203,49,blue-collar,married,primary,no,816,yes,no,cellular,17,apr,76,1,260,7,failure,1
204,34,technician,married,secondary,no,2726,yes,no,cellular,8,apr,67,1,-1,0,unknown,1
205,54,management,divorced,tertiary,no,5399,no,yes,cellular,2,apr,80,3,-1,0,unknown,1
206,29,management,single,tertiary,no,1026,no,no,cellular,12,feb,138,2,92,2,success,2
207,44,management,married,tertiary,no,6203,yes,yes,cellular,17,nov,58,1,188,1,failure,1
208,39,services,married,secondary,no,1367,yes,no,unknown,9,jun,53,4,-1,0,unknown,1
209,33,unemployed,divorced,secondary,no,1005,yes,no,telephone,10,nov,175,1,174,2,failure,1
210,49,management,married,tertiary,no,128,yes,no,unknown,19,may,298,1,-1,0,unknown,1
211,45,management,married,tertiary,no,1186,no,no,cellular,29,aug,25,7,-1,0,unknown,1
212,41,unemployed,married,secondary,no,121,yes,no,unknown,9,may,390,2,-1,0,unknown,1
213,27,services,single,secondary,no,223,yes,yes,cellular,13,may,297,2,-1,0,unknown,1
214,31,technician,married,tertiary,no,162,yes,no,cellular,24,jul,141,11,-1,0,unknown,1
215,32,admin.,single,secondary,no,131,yes,no,cellular,22,jun,522,1,183,2,success,2
216,37,blue-collar,married,secondary,no,421,no,yes,unknown,30,may,381,2,-1,0,unknown,1
217,37,admin.,married,secondary,no,313,yes,no,unknown,19,jun,11,7,-1,0,unknown,1
218,35,management,married,tertiary,no,1870,yes,no,cellular,24,jun,134,1,386,1,failure,1
219,32,entrepreneur,married,secondary,no,604,no,no,cellular,29,jan,270,1,-1,0,unknown,1
220,60,retired,married,secondary,no,1141,no,yes,cellular,8,jul,211,2,-1,0,unknown,1
221,24,management,single,tertiary,no,2845,no,no,cellular,30,apr,779,2,-1,0,unknown,2
222,27,admin.,single,secondary,no,914,no,no,cellular,8,jul,131,2,-1,0,unknown,1
223,32,entrepreneur,married,secondary,no,390,no,no,cellular,30,nov,152,1,-1,0,unknown,1
224,29,technician,divorced,secondary,no,124,no,no,unknown,27,may,125,1,-1,0,unknown,1
225,53,services,married,secondary,no,4994,no,no,cellular,18,aug,62,6,-1,0,unknown,1
226,33,housemaid,married,primary,no,580,no,no,cellular,6,aug,209,2,-1,0,unknown,1
227,41,technician,married,secondary,no,305,yes,yes,cellular,10,jul,61,4,-1,0,unknown,1
228,79,retired,married,secondary,no,8304,no,no,telephone,9,mar,303,9,-1,0,unknown,2
229,30,management,single,tertiary,no,140,no,no,cellular,28,jan,186,1,-1,0,unknown,1
230,52,management,married,secondary,no,218,yes,no,unknown,2,jun,490,12,-1,0,unknown,1
231,36,management,single,tertiary,no,624,yes,no,unknown,6,jun,141,3,-1,0,unknown,1
232,28,self-employed,married,tertiary,no,120,yes,yes,unknown,8,may,130,3,-1,0,unknown,1
233,32,management,married,tertiary,no,2102,yes,no,cellular,8,jul,220,1,-1,0,unknown,1
234,39,services,single,secondary,no,158,yes,no,cellular,21,nov,183,1,168,2,failure,1
235,38,technician,single,tertiary,no,2273,yes,no,cellular,17,apr,222,1,-1,0,unknown,1
236,31,unemployed,single,secondary,no,315,no,no,cellular,30,jan,130,1,2,1,other,1
237,53,self-employed,married,tertiary,no,167,yes,no,cellular,7,may,84,1,343,1,other,1
238,44,blue-collar,divorced,primary,no,70,yes,no,cellular,13,may,176,1,-1,0,unknown,1
239,28,technician,married,secondary,no,1180,yes,no,unknown,29,may,637,3,-1,0,unknown,1
240,35,blue-collar,married,primary,no,1177,no,no,cellular,8,jun,243,4,-1,0,unknown,2
241,30,technician,single,tertiary,no,91,yes,yes,cellular,10,jul,179,1,-1,0,unknown,1
242,38,admin.,single,secondary,no,137,yes,yes,unknown,7,may,125,2,-1,0,unknown,1
243,55,retired,married,tertiary,no,357,yes,no,cellular,11,aug,526,1,103,1,failure,1
244,31,unemployed,divorced,tertiary,no,756,no,no,cellular,20,jul,355,2,-1,0,unknown,2
245,34,self-employed,divorced,tertiary,no,681,no,no,cellular,20,nov,382,6,-1,0,unknown,1
246,59,blue-collar,married,secondary,no,410,yes,no,cellular,2,feb,136,1,-1,0,unknown,1
247,56,blue-collar,divorced,secondary,no,2780,yes,no,telephone,6,feb,81,3,-1,0,unknown,1
248,36,technician,married,secondary,no,110,no,no,cellular,18,aug,80,4,-1,0,unknown,1
249,35,technician,divorced,secondary,no,69,yes,no,unknown,8,may,461,3,-1,0,unknown,1
250,49,blue-collar,married,secondary,no,366,yes,yes,unknown,30,may,191,3,-1,0,unknown,1
251,37,management,divorced,tertiary,no,153,yes,no,cellular,30,apr,221,1,70,2,other,1
252,31,technician,married,secondary,no,510,yes,no,unknown,21,may,117,3,-1,0,unknown,1
253,53,admin.,married,secondary,no,109,no,no,telephone,30,sep,431,1,120,1,success,1
254,50,admin.,married,secondary,no,3258,no,yes,cellular,14,jul,56,2,-1,0,unknown,1
255,47,services,married,secondary,no,284,no,no,cellular,26,aug,266,5,-1,0,unknown,1
256,31,technician,single,secondary,no,798,no,no,telephone,26,aug,66,10,-1,0,unknown,1
257,57,technician,married,secondary,no,589,yes,no,cellular,2,feb,223,1,76,4,failure,1
258,63,retired,divorced,secondary,no,1490,no,no,cellular,8,jun,506,1,-1,0,unknown,2
259,33,management,married,tertiary,no,5792,yes,no,cellular,18,may,55,2,-1,0,unknown,1
260,53,retired,divorced,secondary,no,797,no,no,unknown,20,jun,14,6,-1,0,unknown,1
261,44,self-employed,married,tertiary,no,4411,yes,no,cellular,19,nov,85,1,-1,0,unknown,1
262,36,entrepreneur,divorced,tertiary,no,914,no,no,unknown,6,jun,219,1,-1,0,unknown,1
263,37,management,married,tertiary,no,387,no,no,cellular,26,jul,128,2,419,1,failure,1
264,32,services,married,secondary,no,2796,yes,no,unknown,3,jun,143,8,-1,0,unknown,1
265,46,services,single,secondary,no,389,no,no,telephone,31,jul,46,4,-1,0,unknown,1
266,31,technician,single,tertiary,no,252,no,no,cellular,8,jun,107,3,-1,0,unknown,2
267,32,services,single,secondary,no,3993,no,no,cellular,22,may,148,2,-1,0,unknown,2
268,37,services,married,secondary,no,1325,no,no,unknown,3,jun,72,3,-1,0,unknown,1
269,44,management,married,tertiary,no,149,yes,no,cellular,29,jan,507,1,220,2,success,1
270,30,student,single,secondary,no,459,no,no,cellular,13,jul,98,2,210,22,success,1
271,45,admin.,married,secondary,no,129,yes,no,cellular,2,mar,145,1,-1,0,unknown,1
272,35,admin.,married,secondary,no,786,no,yes,cellular,25,jul,322,1,-1,0,unknown,1
273,30,services,single,secondary,no,290,yes,no,unknown,12,may,446,1,-1,0,unknown,1
274,59,management,single,secondary,no,181,yes,no,unknown,9,may,485,1,-1,0,unknown,1
275,55,management,divorced,tertiary,no,407,yes,yes,cellular,25,aug,65,8,-1,0,unknown,1
276,36,entrepreneur,single,tertiary,no,145,yes,no,cellular,18,may,450,2,304,2,success,1
277,38,management,married,tertiary,no,1680,yes,no,cellular,17,nov,414,2,-1,0,unknown,1
278,54,retired,divorced,secondary,no,451,no,yes,cellular,18,may,42,4,280,5,failure,1
279,29,management,married,tertiary,no,482,no,no,cellular,22,apr,79,1,-1,0,unknown,1
280,43,admin.,married,primary,no,314,yes,yes,unknown,26,may,134,1,-1,0,unknown,1
281,55,retired,married,secondary,no,785,yes,no,cellular,14,may,47,1,370,2,failure,1
282,46,entrepreneur,married,tertiary,no,1082,yes,yes,cellular,18,nov,288,1,-1,0,unknown,1
283,34,technician,married,primary,no,1301,no,no,cellular,2,feb,56,1,-1,0,unknown,1
284,51,unknown,married,unknown,no,2642,no,no,cellular,29,jul,52,6,-1,0,unknown,1
285,34,admin.,single,secondary,no,673,yes,no,cellular,29,jan,89,1,260,2,failure,1
286,56,management,married,tertiary,no,505,yes,yes,cellular,17,nov,171,1,172,2,failure,1
